subject,JND_Alig_U,JND_Alig_C,JND_Misalig_U,JND_Misali_C,JND_X-hands_Aligned,JND_X-hands_Misaligned,ACC_Alig_U,ACC_Alig_C,ACC_Misalig_U,ACC_Misali_C,ACC_X-hands_Aligned,ACC_X-hands_Misaligned
1,19.83,251.81,31.65,116.17,231.98,84.53,91.07,71.43,88.69,77.98,-19.64,-10.71
2,33.48,158.35,56.74,102.61,124.86,45.86,89.29,78.57,89.29,83.93,-10.72,-5.36
3,73.61,1012.42,64.48,497.86,938.81,433.38,86.9,52.98,82.74,64.29,-33.92,-18.45
4,142.89,604.84,399.06,596.15,461.96,197.09,79.76,57.74,69.64,62.5,-22.02,-7.14
5,28.33,75.13,21.31,65.6,46.8,44.3,91.07,82.14,94.05,86.9,-8.93,-7.15
6,48.6,149.72,91.89,60.48,101.12,-31.41,83.93,77.98,84.52,77.38,-5.95,-7.14
7,65.6,401.06,89.95,316.72,335.46,226.78,82.14,66.67,75.6,66.07,-15.47,-9.53
8,68.48,158.92,92.68,61.08,90.44,-31.61,84.52,80.36,86.31,86.9,-4.16,0.59
9,68.09,213.51,106.08,235.94,145.42,129.86,80.36,76.79,79.17,76.19,-3.57,-2.98
10,57.92,100.66,64.07,137.94,42.73,73.87,83.33,80.36,82.74,79.76,-2.97,-2.98
11,37.09,177.17,39.17,150.06,140.08,110.89,88.69,71.43,86.31,77.38,-17.26,-8.93
12,85.48,483.43,84.07,237.36,397.94,153.29,77.38,60.12,82.14,69.05,-17.26,-13.09
13,46.52,117.91,82.41,64.32,71.4,-18.09,85.12,77.38,85.71,80.36,-7.74,-5.35
14,302.7,365,362.05,215.86,62.3,-146.19,70.83,72.02,67.26,71.43,1.19,4.17
15,57.64,71.79,27.31,53.19,14.16,25.88,90.48,91.67,92.86,86.9,1.19,-5.96
16,56.26,232.51,48.07,298.3,176.25,250.23,82.14,69.05,82.74,64.88,-13.09,-17.86
